Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style
9542,20.82,1.084,1.02,8.32,38.52,17.4,28.39,90,1.057,75,1.5,Specific Gravity,All Grain,0.75,20,American Brown Ale
9548,41.64,1.057,1.014,5.65,28.52,8.46,51.1,60,1.047,78,1.25,Specific Gravity,All Grain,0.75,18.89,American Pale Ale
9551,138,1.056,1.013,5.65,28.69,5.15,156,60,1.05,70,2.9,Specific Gravity,All Grain,0.75,20,Blonde Ale
9552,21,1.062,1.014,6.32,141.31,5.12,28.5,60,1.046,68,1.5,Specific Gravity,All Grain,1,19,American IPA
9553,34.04,1.049,1.008,5.34,41.36,8.2,40.8,60,1.041,80,2.8,Specific Gravity,All Grain,0.5,19,American Pale Ale
9556,20.82,1.052,1.013,5.09,48.68,8.76,28.39,60,1.038,80,1.5,Specific Gravity,All Grain,0.35,21.11,American Light Lager
9562,20.82,1.068,1.015,6.86,23.86,6.47,28.39,60,1.05,65,1.25,Specific Gravity,All Grain,0.75,18.33,American Pale Ale
9563,20.82,1.056,1.013,5.58,68.85,6.24,28.39,60,1.041,75,1.5,Specific Gravity,All Grain,1,20,American IPA
9565,23,1.058,1.016,5.52,43.74,7.93,28.5,60,1.047,75,3,Specific Gravity,All Grain,0.35,20,American IPA
9566,43.53,1.054,1.011,5.68,29.51,28.12,49.21,60,1.048,75,1.5,Specific Gravity,All Grain,1,20,American Brown Ale
9574,7.57,1.069,1.012,7.42,64.65,11.37,9.46,45,1.055,75,1.5,Specific Gravity,All Grain,0.35,17.78,American IPA
9576,22.71,1.083,1.022,8.07,105.59,13.42,30.28,90,1.063,65,1.5,Specific Gravity,All Grain,0.35,20,American IPA
9583,20.82,1.069,1.016,6.95,102.36,5.79,28.39,90,1.051,72,1.5,Specific Gravity,All Grain,0.5,20,American IPA
9586,22,1.059,1.019,5.25,62.37,38.25,35,60,1.037,68,2.5,Specific Gravity,All Grain,1.25,18,American Stout
9592,2300,15.7708,3.79194,6.51,64.96,4.54,2300,60,15.8,75,2.5,Plato,All Grain,1,21,American IPA
9593,18.93,1.052,1.012,5.21,20.42,4.55,24.61,60,1.04,69,1.5,Specific Gravity,All Grain,0.35,12.22,Blonde Ale
9599,18.93,1.049,1.011,5.01,61.26,20.37,26.5,60,1.035,57,1.5,Specific Gravity,All Grain,0.35,18.33,American IPA
9602,23,1.061,1.014,6.28,24.19,5.22,28.5,60,1.05,70,2.7,Specific Gravity,All Grain,0.35,21,Blonde Ale
9604,22.71,1.051,1.013,4.99,42.42,18.53,26.5,60,1.044,80,2,Specific Gravity,All Grain,0.75,20,American IPA
9607,45.42,1.048,1.012,4.7,24.37,5.86,56.4,90,1.039,80,1.5,Specific Gravity,All Grain,0.75,18.89,American Pale Ale
9608,20.82,1.066,1.021,5.92,18.81,4.01,28.39,60,1.048,75,1.3,Specific Gravity,All Grain,0.5,21.11,Saison
9612,23,1.036,1.008,3.61,40.6,9.78,28.5,60,1.029,80,3,Specific Gravity,All Grain,0.5,20,American Pale Ale
9624,22.71,1.06,1.012,6.26,55.77,6.27,30.28,60,1.045,75,1.5,Specific Gravity,All Grain,0.75,18.33,American IPA
9625,41.64,1.077,1.015,8.14,67.2,7.28,49.21,60,1.065,70,1.5,Specific Gravity,All Grain,0.35,20,Imperial IPA
9630,20.82,1.052,1.014,5.06,52.49,4.5,26.5,60,1.041,65,1.5,Specific Gravity,All Grain,0.75,20,Saison
9631,17.5,1.069,1.017,6.87,42.06,5.85,19.5,90,1.062,75,3,Specific Gravity,All Grain,0.75,18,American IPA
9632,20.82,1.049,1.009,5.25,38.27,13.31,28.39,60,1.036,70,1.7,Specific Gravity,All Grain,0.5,17.78,American Pale Ale
9639,33,1.054,1.008,5.98,67.89,10.68,45,90,1.039,70,3,Specific Gravity,All Grain,0.35,24,American IPA
9640,37.85,1.073,1.015,7.64,72.39,13.36,47.32,60,1.059,67,1.3,Specific Gravity,All Grain,0.75,20,American Pale Ale
9649,41.64,1.053,1.016,4.81,31.48,14.77,49.21,75,1.045,85,1.5,Specific Gravity,All Grain,0.75,21.11,Irish Red Ale
9650,18.93,1.064,1.017,6.17,145.37,4.56,30.28,60,1.04,72,1.25,Specific Gravity,All Grain,0.5,20,American IPA
9660,45.42,1.048,1.011,4.85,0,3.38,56.78,60,1.038,70,1.25,Specific Gravity,All Grain,0.35,19.44,American IPA
9665,20.82,1.063,1.017,6.15,63.71,14.27,24.61,60,1.054,70,1.25,Specific Gravity,All Grain,1.25,18.33,American IPA
9666,21,1.059,1.012,6.24,58.09,6.71,27.1,60,1.046,70,3,Specific Gravity,All Grain,1,18,American IPA
9668,20.82,1.049,1.009,5.34,23.61,6.26,24.61,90,1.042,77,1.6,Specific Gravity,All Grain,0.75,26.67,Saison
9691,21,1.045,1.005,5.36,35.53,3.36,27.5,60,1.035,61.5,4,Specific Gravity,All Grain,0.35,25,Saison
9697,17.41,1.069,1.009,7.86,52.02,6.61,25.36,60,1.047,75,1.5,Specific Gravity,All Grain,2,16.67,American IPA
9699,19.87,1.052,1.015,4.78,16.97,7.36,26.5,60,1.039,70,1.5,Specific Gravity,All Grain,0.5,20,Blonde Ale
9701,21,1.055,1.01,5.86,35.56,5.22,19,90,1.06,79,3.4,Specific Gravity,All Grain,0.5,19,American Pale Ale
9702,20.82,1.046,1.008,4.95,38.66,6.12,28.39,60,1.034,75,1.5,Specific Gravity,All Grain,0.35,18.33,American Pale Ale
9709,22,1.045,1.01,4.63,29.82,5.63,26,60,1.038,75,4.3,Specific Gravity,All Grain,0.35,22,Blonde Ale
9719,21,1.05,1.009,5.42,41.13,17.63,30,60,1.035,65,5,Specific Gravity,All Grain,1,19,American Amber Ale
9720,18.93,1.065,1.016,6.45,41.68,13.6,28.39,60,1.044,70,1.25,Specific Gravity,All Grain,0.35,21.11,American IPA
9724,37.85,1.066,1.016,6.57,62.85,10.91,43.53,60,1.057,75,1.25,Specific Gravity,All Grain,1,15.56,American IPA
9726,10,1.05,1.009,5.46,16.39,3.64,12,60,1.042,75,3,Specific Gravity,All Grain,0.75,19,Blonde Ale
9731,52,1.049,1.008,5.32,26.67,7.82,61,60,1.042,70,3,Specific Gravity,All Grain,0.75,20,American Pale Ale
9737,22.71,1.058,1.012,6.06,61.49,10.44,28.39,60,1.046,80,1.5,Specific Gravity,All Grain,0.75,20,American Pale Ale
9739,22.71,1.069,1.016,6.93,121.85,5.45,29.34,90,1.054,75,1.3,Specific Gravity,All Grain,0.75,19.44,American IPA
9744,30,1.063,1.017,6.06,41.28,6.27,34,60,1.056,75,3,Specific Gravity,All Grain,1,20,American IPA
9748,20.82,1.066,1.014,6.84,68.09,5.38,26.5,60,1.052,68,1.42,Specific Gravity,All Grain,1,17.78,American IPA
9749,18.93,1.083,1.021,8.18,0,4.65,26.5,60,1.059,80,1.25,Specific Gravity,All Grain,0.75,20,American Light Lager
9757,52.05,1.074,1.017,7.47,76.5,6.2,57.73,60,1.063,75,1.25,Specific Gravity,All Grain,0.75,20,American IPA
9762,22.71,1.059,1.012,6.18,103.24,4.98,32.18,60,1.042,70,1.3,Specific Gravity,All Grain,0.75,18.5,American IPA
9767,19.87,1.052,1.003,6.49,42.08,4.34,28.39,90,1.031,72,1.8,Specific Gravity,All Grain,0.75,18.33,Saison
9768,25,16.1422,2.80738,7.23,61.75,6.18,31.8,60,12.8,80,3.5,Plato,All Grain,1,19,American IPA
9771,45,1.047,1.009,5.09,18.47,2.98,53,70,1.04,75,3,Specific Gravity,All Grain,0.75,17,Blonde Ale
9772,20.82,1.065,1.017,6.35,19.24,6.3,26.5,60,1.051,72,1.5,Specific Gravity,All Grain,0.35,19.44,American IPA
9775,50,1.046,1.008,5.04,34.05,6.66,60,60,1.039,77,3.24,Specific Gravity,All Grain,0.35,18,American Pale Ale
9776,18.93,1.061,1.019,5.53,42.68,9.54,24.61,60,1.047,70,1.5,Specific Gravity,All Grain,0.75,20,American Pale Ale
9784,20.82,1.074,1.02,7.08,98.94,8.48,28.39,60,1.054,70,1.5,Specific Gravity,All Grain,1,22.22,American IPA
9786,125,1.049,1.013,4.8,17.46,3.5,140,70,1.044,70,3.5,Specific Gravity,All Grain,0.75,18,Witbier
9787,7.57,1.062,1.016,6,74.16,7.69,9.46,60,1.049,75,1.25,Specific Gravity,All Grain,0.35,20,American IPA
9788,20,1.079,1.013,8.65,77.5,4.38,25,60,1.063,80,3,Specific Gravity,All Grain,0.35,21,American IPA
9795,49,13.026,3.36531,5.19,52.06,7.14,56,70,11.5,85,3,Plato,All Grain,0.5,18,American IPA
9796,50,1.058,1.015,5.66,95.1,5.15,56,60,1.052,80,3,Specific Gravity,All Grain,1,19,American IPA
9803,20.82,1.062,1.019,5.66,73.14,6.49,30.28,90,1.043,72,1.5,Specific Gravity,All Grain,1,18.89,American IPA
9806,20,1.062,1.007,7.24,180.53,8.39,30,60,1.041,65,3,Specific Gravity,All Grain,1,20,American IPA
9811,50,1.047,1.012,4.62,27.53,5.56,70,60,1.034,75,2.93,Specific Gravity,All Grain,2,18,Blonde Ale
9818,20.82,1.061,1.015,5.99,96.16,4.58,28.39,60,1.045,70,1.5,Specific Gravity,All Grain,1,20,American IPA
9823,59.62,1.076,1.02,7.37,26.26,8.9,67.19,90,1.068,75,1.5,Specific Gravity,All Grain,1,20,American Pale Ale
9826,810.08,1.061,1.014,6.16,100.29,10.79,908.5,60,1.055,80,1.5,Specific Gravity,All Grain,2,20,American IPA
9827,41.64,1.055,1.006,6.54,26.65,3.89,51.1,90,1.045,75,1.32,Specific Gravity,All Grain,0.75,26.67,Saison
9832,43.53,1.054,1.013,5.28,43.54,6.48,51.1,60,1.046,76,1.5,Specific Gravity,All Grain,0.75,18.33,American Pale Ale
9833,18.93,1.057,1.015,5.63,20.47,3.89,22.71,60,1.048,75,0.75,Specific Gravity,All Grain,0.5,20,Blonde Ale
9840,22.71,1.069,1.013,7.31,76.75,9.15,28.39,90,1.055,85,1.5,Specific Gravity,All Grain,1.5,17.78,American IPA
9841,20.82,1.073,1.015,8.04,62.28,9.28,28.39,60,1.054,59,1.5,Specific Gravity,All Grain,0.5,20.56,Imperial IPA
9847,20.82,1.069,1.015,7.11,99.41,7.28,28.39,60,1.05,70,1.5,Specific Gravity,All Grain,1,19.44,American IPA
9848,20.82,1.05,1.009,5.41,14.17,4.84,28.39,60,1.037,65,1.5,Specific Gravity,All Grain,0.35,15.56,Blonde Ale
9851,2000,13.858,2.45944,6.12,38.05,5.45,2200,70,12.7,70,3.1,Plato,All Grain,0.35,22,American Pale Ale
9853,11.36,1.059,1.012,6.2,41.75,12.68,17.03,60,1.04,50,1.5,Specific Gravity,All Grain,0.75,18.33,American IPA
9855,50,1.052,1.013,5.17,34.25,18.55,55,60,1.048,60,3,Specific Gravity,All Grain,0.5,19,Irish Red Ale
9858,21,1.044,1.009,4.55,55.06,5.22,28.5,60,1.032,62,2.6,Specific Gravity,All Grain,1,20,American Light Lager
9865,18.93,1.059,1.015,5.74,68.15,5.9,28.39,90,1.039,70,1.2,Specific Gravity,All Grain,0.35,20,American IPA
9866,5,1.05,1.011,5.07,10.64,3.53,8.3,65,1.03,70,3,Specific Gravity,All Grain,0.35,20,Witbier
9867,65,1.054,1.009,5.94,56.19,6.09,70,75,1.051,70,2.5,Specific Gravity,All Grain,1,19,American IPA
9874,400,1.05,1.013,4.92,13.44,18.89,400,60,1.05,70,3,Specific Gravity,All Grain,1,20,Irish Red Ale
9882,18.93,1.076,1.018,7.71,322.76,8.09,26.88,90,1.054,68,1.5,Specific Gravity,All Grain,0.35,18.33,American IPA
9883,24.61,1.065,1.014,6.6,96.87,5.66,32.18,90,1.049,75,1.5,Specific Gravity,All Grain,0.75,18.33,American IPA
9885,20.82,1.062,1.012,6.49,57.14,10.26,29.9,65,1.043,70,1.25,Specific Gravity,All Grain,0.75,20,American Pale Ale
9887,41.64,1.072,1.015,7.41,130.06,12.79,49.21,60,1.061,52,1.25,Specific Gravity,All Grain,0.75,21.11,American IPA
9889,37.85,1.057,1.011,6.09,69.01,6.08,45.42,90,1.047,60,1.5,Specific Gravity,All Grain,0.5,20,American IPA
9891,20.82,1.057,1.012,5.94,31.07,16.89,28.39,60,1.042,60,1.5,Specific Gravity,All Grain,0.75,20,American IPA
9893,39.75,1.038,1.008,3.97,103.09,9.03,45.42,60,1.033,70,1.5,Specific Gravity,All Grain,0.75,15.56,American IPA
9897,20.82,1.067,1.014,6.89,63.5,11.05,30.66,60,1.045,64,1.25,Specific Gravity,All Grain,1,21.11,American IPA
9902,22.71,1.044,1.012,4.19,45.42,6.49,30.28,60,1.033,70,1.5,Specific Gravity,All Grain,1,22.22,American IPA
9906,58,1.05,1.009,5.32,22.53,12.65,68,60,1.042,70,2.5,Specific Gravity,All Grain,0.35,20,Irish Red Ale
9908,26,1.064,1.013,6.63,65.1,6.53,30,60,1.055,70,1.5,Specific Gravity,All Grain,0.75,20,American IPA
9910,37.85,1.069,1.015,7.17,73.07,8.16,45.42,60,1.058,75,1.5,Specific Gravity,All Grain,0.35,20,American IPA
9918,45.42,1.045,1.01,4.59,70.05,3.28,51.1,60,1.04,70,1.25,Specific Gravity,All Grain,1,18.33,American IPA
9921,20.82,1.066,1.015,6.58,129.78,5.04,26.5,60,1.052,70,1.5,Specific Gravity,All Grain,0.35,21.11,American IPA
9927,22,1.04,1.009,4.05,49.48,8.97,28,60,1.031,60,3,Specific Gravity,All Grain,0.35,20,American Pale Ale
9933,20.82,1.051,1.01,5.38,48.67,7.54,28.39,60,1.037,70,1.5,Specific Gravity,All Grain,0.35,18.33,American Pale Ale
9935,20.82,1.048,1.014,4.44,36.29,6.29,28.39,90,1.035,80,1.33,Specific Gravity,All Grain,0.75,20,American Pale Ale
9936,41.64,1.06,1.014,5.98,44.65,24.6,51.1,60,1.049,78,1.25,Specific Gravity,All Grain,0.75,18.89,American Brown Ale
9937,24,1.051,1.012,5.19,30.05,16.02,32,90,1.039,70,4,Specific Gravity,All Grain,0.75,19,American Amber Ale
9939,18.93,1.053,1.017,4.82,28.63,5.1,25.55,60,1.039,72,2,Specific Gravity,All Grain,0.75,22.22,Blonde Ale
9943,110,1.059,1.017,5.49,33.67,7.64,140,60,1.046,70,2.8,Specific Gravity,All Grain,0.75,22,American Pale Ale
9946,10.41,1.07,1.019,6.75,19.62,33.53,15.14,60,1.048,70,1.3,Specific Gravity,All Grain,1,25.56,Saison
9949,23,1.056,1.011,6.01,20.95,3.71,28.5,90,1.045,70,2.5,Specific Gravity,All Grain,0.75,18,Saison
9950,20.82,1.074,1.019,7.19,112.56,7.24,26.5,60,1.058,75,1.5,Specific Gravity,All Grain,0.5,20,American IPA
9954,27,1.045,1.01,4.59,26.86,4.46,28.5,90,1.043,80,4,Specific Gravity,All Grain,1,20,Blonde Ale
9959,13.25,1.044,1.008,4.75,8.07,3.43,18.93,45,1.031,75,1.5,Specific Gravity,All Grain,0.35,22.22,Witbier
9960,40,1.054,1.009,5.84,39.99,8.52,48,60,1.045,69,2.44,Specific Gravity,All Grain,0.75,18,American Pale Ale
9961,18.93,1.065,1.017,6.27,98.73,8.09,26.5,60,1.046,60,1.5,Specific Gravity,All Grain,0.5,20,American IPA
9962,20.82,1.047,1.011,4.76,23.2,3.37,22.71,60,1.043,70,1.25,Specific Gravity,All Grain,0.5,20,Blonde Ale
9969,37.85,1.069,1.015,7.18,83.93,8.41,45.42,60,1.058,70,1.25,Specific Gravity,All Grain,0.5,20,American IPA
9972,20.82,1.061,1.016,5.89,52.23,4.05,28.39,60,1.045,75,1.5,Specific Gravity,All Grain,1,19.44,American IPA
9974,25,1.086,1.023,8.27,113.67,8.07,28.5,60,1.076,78,2.5,Specific Gravity,All Grain,1,21,Imperial IPA
9977,20.82,1.044,1.008,4.76,37.08,3.88,28.39,60,1.032,70,1.5,Specific Gravity,All Grain,0.35,18.33,Blonde Ale
9980,22.71,1.05,1.012,4.95,15,3.82,26.5,60,1.043,83,1.25,Specific Gravity,All Grain,0.35,20,Witbier
9984,20,1.053,1.011,5.62,39.16,6.28,23,60,1.046,75,3,Specific Gravity,All Grain,0.5,18,American Pale Ale
9986,20.82,1.062,1.015,6.25,40.79,6.12,27.25,60,1.048,72,1.5,Specific Gravity,All Grain,0.75,20,American Pale Ale
9989,9.46,1.006,1.001,0.63,0,4.8,9.46,60,1.006,70,1.5,Specific Gravity,All Grain,1,21.11,American Light Lager
9994,20.82,1.052,1.015,4.9,22.42,17.8,28.39,60,1.038,60,1.5,Specific Gravity,All Grain,1.25,18.33,Irish Red Ale
9998,11.36,1.052,1.009,5.6,27.7,3.8,15.14,60,1.039,65,1.25,Specific Gravity,All Grain,0.35,18.33,American Pale Ale
10001,22.71,1.064,1.018,6.05,22.25,19.61,30.28,75,1.048,70,1.5,Specific Gravity,All Grain,0.5,20,American Amber Ale
10002,18.93,1.053,1.01,5.63,20.78,25.11,28.01,60,1.036,72,1.7,Specific Gravity,All Grain,0.35,18.33,American Brown Ale
10007,20.82,1.061,1.019,5.54,41.84,9.97,28.39,60,1.045,70,1.25,Specific Gravity,All Grain,0.5,21.11,American Pale Ale
10010,20.82,1.069,1.015,7.12,77.62,6.31,28.39,60,1.05,70,1.5,Specific Gravity,All Grain,1,19.44,American IPA
10014,50,1.063,1.013,6.52,24.99,7.83,68,90,1.046,75,3,Specific Gravity,All Grain,1,21,Saison
10015,18.93,1.054,1.011,5.68,13.06,3.31,28.39,90,1.036,70,1.5,Specific Gravity,All Grain,0.35,8.89,American Light Lager
10017,1000,1.05,1.005,5.9,21.64,3.69,1200,60,1.041,75,4,Specific Gravity,All Grain,0.5,20,Saison
10024,22,1.048,1.01,4.92,44.87,4.91,28,60,1.038,70,2.7,Specific Gravity,All Grain,0.75,20,American Pale Ale
10025,18.93,1.074,1.019,7.28,101.04,10.77,28.39,60,1.049,65,1.5,Specific Gravity,All Grain,0.5,21.11,Imperial IPA
10027,1408.17,20.2136,4.55853,8.66,16.34,4.58,1446.03,60,16.3,72,1.5,Plato,All Grain,1.25,20,American IPA
10032,38.8,1.067,1.013,7.13,21.12,4.59,53,90,1.049,80,1.5,Specific Gravity,All Grain,0.35,23.89,Saison
10036,6.06,1.06,1.015,5.85,46,36.08,7.38,60,1.049,76,1.33,Specific Gravity,All Grain,0.35,20,American Stout
10039,20.82,1.059,1.014,5.9,101.97,7.67,28.39,60,1.043,70,1.2,Specific Gravity,All Grain,1.25,18.33,American IPA
10050,25,1.046,1.009,4.78,37.81,5.72,28.5,90,1.04,77,3,Specific Gravity,All Grain,0.5,20,American Pale Ale
10053,20.82,1.092,1.015,10.03,67.65,7.41,24.61,60,1.049,70,1.5,Specific Gravity,All Grain,1.25,18.89,Imperial IPA
10058,20.82,1.059,1.016,5.65,32.63,9.5,28.39,90,1.044,80,1.25,Specific Gravity,All Grain,0.5,31.67,Saison
10065,20.82,1.055,1.015,5.22,34.36,15.23,28.39,60,1.035,72,1.5,Specific Gravity,All Grain,1,16.67,Irish Red Ale
10066,11.36,1.073,1.013,7.88,99.24,9.74,15.14,90,1.055,70,1.5,Specific Gravity,All Grain,1,20,American Amber Ale
10069,45.42,1.057,1.014,5.58,33.36,6.53,51.1,60,1.05,75,1.3,Specific Gravity,All Grain,0.75,23.89,American IPA
10076,20.82,1.063,1.018,5.92,61.95,16.15,28.39,60,1.046,70,1.2,Specific Gravity,All Grain,0.35,18.33,American Brown Ale
10082,45.42,1.046,1.009,4.95,68.84,7.57,51.1,60,1.041,80,1.5,Specific Gravity,All Grain,0.75,19.44,American IPA
10088,55,1.054,1.013,5.33,20.91,12.96,62.5,70,1.047,70,2.7,Specific Gravity,All Grain,1,20,Irish Red Ale
10090,11.36,1.048,1.01,4.99,30.01,5.9,13.25,60,1.041,75,1.5,Specific Gravity,All Grain,0.75,16.67,Saison
10093,21,1.047,1.012,4.54,32.03,6.02,28.5,60,1.035,70,5,Specific Gravity,All Grain,0.35,20,American Pale Ale
10096,20.82,1.047,1.011,4.77,28.1,3.37,26.5,60,1.037,70,1.5,Specific Gravity,All Grain,0.75,18.33,Blonde Ale
10099,20.82,1.06,1.018,5.55,62.65,7.67,24.61,60,1.051,75,1.25,Specific Gravity,All Grain,1.25,19.44,American IPA
10100,18.93,1.064,1.015,6.36,69.11,7.54,28.39,60,1.042,72,1.25,Specific Gravity,All Grain,0.35,20,American Pale Ale
10101,18.93,1.066,1.016,6.64,57.21,9.24,24.61,60,1.051,65,1.32,Specific Gravity,All Grain,0.35,21.11,American IPA
10104,20.82,1.071,1.008,8.32,42.86,3.91,24.61,60,1.053,65,1.4,Specific Gravity,All Grain,1,21.11,Saison
10106,1173.48,1.062,1.012,6.59,57.85,10.86,1290.83,60,1.057,77,1.25,Specific Gravity,All Grain,0.75,20,American IPA
10109,20.82,1.056,1.017,5.07,55.05,13.84,28.39,60,1.041,70,1.5,Specific Gravity,All Grain,0.35,20,American Pale Ale
10110,20.82,1.063,1.014,6.36,34.15,3.95,28.39,60,1.046,70,1.5,Specific Gravity,All Grain,0.35,21.11,Blonde Ale
10117,20.82,1.056,1.013,5.71,40.92,14.63,26.5,60,1.04,65,1.3,Specific Gravity,All Grain,1,17.78,American Amber Ale
10120,21,1.053,1.011,5.46,16.24,3.47,26,90,1.043,80,3.5,Specific Gravity,All Grain,0.75,21,Witbier
10126,47.32,1.063,1.02,5.58,73.96,4.69,52.05,75,1.057,73,1.5,Specific Gravity,All Grain,0.35,18.89,American IPA
10140,19,1.044,1.008,4.64,57.64,9.53,25,60,1.033,65,3,Specific Gravity,All Grain,0.5,18,American Pale Ale
10146,51.1,1.06,1.016,5.71,79.83,12.24,54.89,60,1.056,70,1.5,Specific Gravity,All Grain,0.5,18.33,American IPA
10149,20.82,1.065,1.014,6.77,78.69,9.04,24.61,60,1.055,70,1.5,Specific Gravity,All Grain,0.35,21.11,American IPA
10153,23,1.052,1.011,5.44,34.26,8.19,32,60,1.038,75,3,Specific Gravity,All Grain,1,20,American Pale Ale
10166,52,1.053,1.013,5.22,42.36,8.4,64,90,1.043,86,3,Specific Gravity,All Grain,0.75,20,American Pale Ale
10167,12,1.039,1.008,4.13,12.01,2.93,11,60,1.043,60,3,Specific Gravity,All Grain,0.5,22,American Light Lager
10169,41.64,1.07,1.022,6.29,47.8,38.13,51.1,60,1.057,65,1.25,Specific Gravity,All Grain,0.35,21.11,American Brown Ale
10173,20,15.8711,4.13215,6.38,70.57,4.83,24,90,13.3,67,3.1,Plato,All Grain,0.5,20,American IPA
10180,27,1.105,1.023,10.69,139.61,21.04,42,180,1.067,75,4.5,Specific Gravity,All Grain,1,20,Imperial IPA
10183,20.06,1.039,1.008,4.16,7.99,3.7,28.01,30,1.028,60,1.5,Specific Gravity,All Grain,0.35,22.22,Saison
10190,23,1.051,1.015,4.74,38.39,4.44,27,60,1.044,85,3,Specific Gravity,All Grain,0.35,21,American IPA
10197,47.32,1.062,1.01,6.79,0,4.56,47.32,60,1.062,60,1.5,Specific Gravity,All Grain,0.5,23.89,American IPA
10198,20.82,1.022,1.005,2.16,45.92,3.71,28.39,60,1.016,35,1.5,Specific Gravity,All Grain,0.35,17.78,American Pale Ale
10199,9.46,1.046,1.013,4.36,75.17,6.12,14.2,60,1.031,70,4.3,Specific Gravity,All Grain,0.75,20,American IPA
10202,15.14,1.058,1.017,5.4,87.36,8.03,22.71,85,1.038,75,1.3,Specific Gravity,All Grain,0.35,21.11,Imperial IPA
10218,113.56,1.055,1.014,5.4,41.33,8.56,105.99,60,1.059,70,1.5,Specific Gravity,All Grain,0.35,20,American Pale Ale
10220,20.82,1.064,1.015,6.4,96.41,5.5,28.39,60,1.047,70,1.5,Specific Gravity,All Grain,0.75,20,American IPA
10223,20.82,1.059,1.013,6,54.76,7.51,25.55,60,1.048,80,1.5,Specific Gravity,All Grain,0.75,20,American IPA
10225,20.82,1.059,1.01,6.49,19.82,3.59,28.39,60,1.044,80,1.5,Specific Gravity,All Grain,1.25,25,Saison
10226,39.75,1.063,1.011,6.75,65.78,9.09,49.21,60,1.051,70,1.2,Specific Gravity,All Grain,0.75,16.67,American IPA
10227,11.36,1.056,1.014,5.54,50,6.96,15.14,75,1.042,75,1.5,Specific Gravity,All Grain,0.75,18.33,American Pale Ale
10237,18,1.046,1.011,4.69,10.02,3.86,25.75,65,1.032,65,4.53,Specific Gravity,All Grain,0.35,25,American Pale Ale
10238,20.82,1.065,1.013,6.79,74.24,4.88,24.61,60,1.055,75,1.33,Specific Gravity,All Grain,0.35,17.78,American IPA
10247,23,1.068,1.011,7.46,58.03,7.31,27,60,1.058,72,2.5,Specific Gravity,All Grain,1,17,American IPA
10255,20,1.05,1.005,5.9,20.66,5.6,27,60,1.037,75,3,Specific Gravity,All Grain,0.75,23,Saison
10273,25,1.049,1.01,5.05,58.93,6.26,22,60,1.055,70,3,Specific Gravity,All Grain,0.75,19,American Pale Ale
10274,22,1.054,1.009,5.8,28.13,9.34,32,60,1.037,70,3,Specific Gravity,All Grain,0.35,21,Saison
10275,41.64,1.065,1.018,6.12,60.95,19.56,53,90,1.051,70,1.5,Specific Gravity,All Grain,0.5,19.44,American IPA
10279,20.82,1.049,1.013,4.62,23.37,5.11,28.39,90,1.036,80,1.25,Specific Gravity,All Grain,0.75,23.89,Saison
10283,37,1.055,1.009,6,50.08,27.62,30,60,1.068,75,3,Specific Gravity,All Grain,0.35,21,American Brown Ale
10284,15.7,1.065,1.015,6.61,69.01,10.07,22,60,1.047,77,3,Specific Gravity,All Grain,0.75,17,American IPA
10292,18.93,1.092,1.024,8.88,76.08,46.58,24.61,60,1.071,65,1.25,Specific Gravity,All Grain,1.25,18.33,American Stout
10296,23,1.056,1.009,6.17,41.96,5.65,27.1,60,1.048,75,3.35,Specific Gravity,All Grain,0.75,18,American Pale Ale
10301,25,1.052,1.01,5.47,38.38,15.81,31.5,60,1.041,65,2.8,Specific Gravity,All Grain,0.75,20,American Amber Ale
10304,17.03,1.056,1.014,5.59,27.75,16.68,20.82,60,1.046,68,1.25,Specific Gravity,All Grain,0.5,16.67,Irish Red Ale
10310,24.61,1.049,1.007,5.6,45.35,4.63,30.28,60,1.04,70,1.25,Specific Gravity,All Grain,0.75,18.89,American Pale Ale
10315,21.77,1.051,1.014,4.81,23.88,3.87,28.39,75,1.039,75,1.5,Specific Gravity,All Grain,0.35,26.67,Saison
10318,41.64,1.053,1.014,5.08,71.8,12.71,45.42,60,1.048,70,1.33,Specific Gravity,All Grain,0.5,18.33,American Pale Ale
10320,20.82,1.087,1.013,10.42,139.5,9.92,28.39,60,1.064,73,1.33,Specific Gravity,All Grain,1,18.33,Imperial IPA
10327,4.73,1.069,1.012,7.55,33.32,18.61,12.3,60,1.027,70,1.1,Specific Gravity,All Grain,1,20,American Amber Ale
10338,30.28,1.06,1.011,6.51,105.78,9.46,34.07,60,1.054,70,1.5,Specific Gravity,All Grain,0.75,18.89,American IPA
10340,21,1.072,1.017,7.2,73.48,8.1,28.4,60,1.053,70,2.9,Specific Gravity,All Grain,0.75,18.5,American IPA
10344,20.82,1.055,1.013,5.6,26.12,10.7,25.55,60,1.045,73,1.25,Specific Gravity,All Grain,0.75,18.89,American Amber Ale
10346,11.36,1.048,1.006,5.52,34.33,5.1,18.93,60,1.029,65,1.5,Specific Gravity,All Grain,0.5,10,American Pale Ale
10360,20.82,1.054,1.013,5.44,27.14,18.25,28.39,60,1.04,75,1.33,Specific Gravity,All Grain,0.75,20,American Amber Ale
10372,18.93,1.047,1.013,4.36,86.31,3.34,26.5,30,1.033,70,1.5,Specific Gravity,All Grain,0.35,20,American Pale Ale
